trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint,travel_time_sec,distance_m,speed_kmph,hour,minute,stop_lat,stop_lon,stop_name,arrival_sec,next_arrival_sec,hour_of_day,service_id,direction_id,traffic_label
3196,0 days 14:52:15,0 days 14:52:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,52,28.643925,77.188416,Karol Bagh,53535.0,53673.0,14.0,weekday,,Light
3197,0 days 14:58:07,0 days 14:58:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,58,28.643925,77.188416,Karol Bagh,53887.0,54025.0,14.0,weekday,,Light
3198,0 days 15:03:59,0 days 15:04:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,4,28.643925,77.188416,Karol Bagh,54239.0,54377.0,15.0,weekday,,Light
3199,0 days 15:09:51,0 days 15:10:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,10,28.643925,77.188416,Karol Bagh,54591.0,54729.0,15.0,weekday,,Light
3200,0 days 15:15:43,0 days 15:16:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,16,28.643925,77.188416,Karol Bagh,54943.0,55081.0,15.0,weekday,,Light
3201,0 days 15:21:35,0 days 15:21:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,21,28.643925,77.188416,Karol Bagh,55295.0,55433.0,15.0,weekday,,Light
3202,0 days 15:27:27,0 days 15:27:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,27,28.643925,77.188416,Karol Bagh,55647.0,55785.0,15.0,weekday,,Light
3203,0 days 15:33:19,0 days 15:33:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,33,28.643925,77.188416,Karol Bagh,55999.0,56137.0,15.0,weekday,,Light
3204,0 days 15:39:11,0 days 15:39:31,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,39,28.643925,77.188416,Karol Bagh,56351.0,56489.0,15.0,weekday,,Light
3205,0 days 15:45:03,0 days 15:45:23,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,45,28.643925,77.188416,Karol Bagh,56703.0,56841.0,15.0,weekday,,Light
3206,0 days 15:50:55,0 days 15:51:15,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,51,28.643925,77.188416,Karol Bagh,57055.0,57193.0,15.0,weekday,,Light
3207,0 days 15:56:47,0 days 15:57:07,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,15,57,28.643925,77.188416,Karol Bagh,57407.0,57545.0,15.0,weekday,,Light
3208,0 days 16:02:39,0 days 16:02:59,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,2,28.643925,77.188416,Karol Bagh,57759.0,57897.0,16.0,weekday,,Light
3209,0 days 16:08:31,0 days 16:08:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,8,28.643925,77.188416,Karol Bagh,58111.0,58249.0,16.0,weekday,,Light
3210,0 days 16:14:23,0 days 16:14:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,14,28.643925,77.188416,Karol Bagh,58463.0,58601.0,16.0,weekday,,Light
3211,0 days 16:20:15,0 days 16:20:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,20,28.643925,77.188416,Karol Bagh,58815.0,58953.0,16.0,weekday,,Light
3212,0 days 16:26:07,0 days 16:26:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,26,28.643925,77.188416,Karol Bagh,59167.0,59305.0,16.0,weekday,,Light
3213,0 days 16:31:59,0 days 16:32:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,32,28.643925,77.188416,Karol Bagh,59519.0,59657.0,16.0,weekday,,Light
3214,0 days 16:37:51,0 days 16:38:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,38,28.643925,77.188416,Karol Bagh,59871.0,60009.0,16.0,weekday,,Light
3215,0 days 16:43:43,0 days 16:44:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,44,28.643925,77.188416,Karol Bagh,60223.0,60361.0,16.0,weekday,,Light
3216,0 days 16:49:35,0 days 16:49:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,49,28.643925,77.188416,Karol Bagh,60575.0,60713.0,16.0,weekday,,Light
3217,0 days 16:55:27,0 days 16:55:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,16,55,28.643925,77.188416,Karol Bagh,60927.0,61065.0,16.0,weekday,,Light
3218,0 days 17:01:19,0 days 17:01:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,1,28.643925,77.188416,Karol Bagh,61279.0,61417.0,17.0,weekday,,Light
3219,0 days 17:07:11,0 days 17:07:31,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,7,28.643925,77.188416,Karol Bagh,61631.0,61769.0,17.0,weekday,,Light
3220,0 days 17:13:03,0 days 17:13:23,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,13,28.643925,77.188416,Karol Bagh,61983.0,62121.0,17.0,weekday,,Light
3221,0 days 17:18:55,0 days 17:19:15,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,19,28.643925,77.188416,Karol Bagh,62335.0,62473.0,17.0,weekday,,Light
3222,0 days 17:24:47,0 days 17:25:07,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,25,28.643925,77.188416,Karol Bagh,62687.0,62825.0,17.0,weekday,,Light
3223,0 days 17:30:39,0 days 17:30:59,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,30,28.643925,77.188416,Karol Bagh,63039.0,63177.0,17.0,weekday,,Light
3224,0 days 17:36:31,0 days 17:36:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,36,28.643925,77.188416,Karol Bagh,63391.0,63529.0,17.0,weekday,,Light
3225,0 days 17:42:23,0 days 17:42:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,42,28.643925,77.188416,Karol Bagh,63743.0,63881.0,17.0,weekday,,Light
3226,0 days 17:48:15,0 days 17:48:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,48,28.643925,77.188416,Karol Bagh,64095.0,64233.0,17.0,weekday,,Light
3227,0 days 17:54:07,0 days 17:54:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,17,54,28.643925,77.188416,Karol Bagh,64447.0,64585.0,17.0,weekday,,Light
3228,0 days 17:59:59,0 days 18:00:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,0,28.643925,77.188416,Karol Bagh,64799.0,64937.0,17.0,weekday,,Light
3229,0 days 18:05:25,0 days 18:05:45,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,5,28.643925,77.188416,Karol Bagh,65125.0,65263.0,18.0,weekday,,Light
3230,0 days 18:10:51,0 days 18:11:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,11,28.643925,77.188416,Karol Bagh,65451.0,65589.0,18.0,weekday,,Light
3231,0 days 18:16:17,0 days 18:16:37,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,16,28.643925,77.188416,Karol Bagh,65777.0,65915.0,18.0,weekday,,Light
3232,0 days 18:21:43,0 days 18:22:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,22,28.643925,77.188416,Karol Bagh,66103.0,66241.0,18.0,weekday,,Light
3233,0 days 18:27:09,0 days 18:27:29,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,27,28.643925,77.188416,Karol Bagh,66429.0,66567.0,18.0,weekday,,Light
3234,0 days 18:32:35,0 days 18:32:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,32,28.643925,77.188416,Karol Bagh,66755.0,66893.0,18.0,weekday,,Light
3235,0 days 18:38:01,0 days 18:38:21,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,38,28.643925,77.188416,Karol Bagh,67081.0,67219.0,18.0,weekday,,Light
3236,0 days 18:43:27,0 days 18:43:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,43,28.643925,77.188416,Karol Bagh,67407.0,67545.0,18.0,weekday,,Light
3237,0 days 18:48:53,0 days 18:49:13,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,49,28.643925,77.188416,Karol Bagh,67733.0,67871.0,18.0,weekday,,Light
3238,0 days 18:54:19,0 days 18:54:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,18,54,28.643925,77.188416,Karol Bagh,68059.0,68197.0,18.0,weekday,,Light
3239,0 days 18:59:45,0 days 19:00:05,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,19,0,28.643925,77.188416,Karol Bagh,68385.0,68523.0,18.0,weekday,,Light
